latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.21257,76.47799,323.33,0.46,0.47,2024-01-12,2013,N20,VIIRS,n,2,276.02,4.31,N,0
31.43327,76.89732,296.86,0.42,0.45,2024-01-12,2013,N20,VIIRS,n,2,270.07,0.78,N,0
32.21922,76.47704,341.54,0.42,0.45,2024-01-13,731,N20,VIIRS,n,2,301.1,8.39,D,0
32.21671,76.47291,336.97,0.42,0.45,2024-01-13,731,N20,VIIRS,n,2,291.58,8.04,D,0
32.47906,75.99969,299.1,0.47,0.64,2024-01-13,1954,N20,VIIRS,n,2,280.26,1.05,N,0
32.3567,76.56626,299.66,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,273.54,1.61,N,0
32.31911,76.52303,311.92,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,274.51,2.34,N,0
32.3189,76.52665,310.31,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,275.66,1.86,N,0
32.3187,76.53003,302.12,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,275.99,1.86,N,0
32.3175,76.52265,297.3,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,273.24,1.93,N,0
32.31728,76.52611,316.35,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,275.74,1.93,N,0
32.31707,76.5293,309.36,0.43,0.62,2024-01-13,1954,N20,VIIRS,n,2,276.16,2.3,N,0
30.89602,76.82403,296.66,0.59,0.7,2024-01-13,2135,N20,VIIRS,n,2,276.78,0.66,N,0
32.35504,76.57291,327.86,0.38,0.59,2024-01-14,712,N20,VIIRS,n,2,287.96,3.61,D,0
32.3174,76.53523,328.8,0.39,0.59,2024-01-14,712,N20,VIIRS,n,2,283.7,6.93,D,0
32.3102,76.52909,330.02,0.39,0.59,2024-01-14,712,N20,VIIRS,n,2,284.35,6.82,D,0
32.30959,76.52668,335.84,0.39,0.59,2024-01-14,712,N20,VIIRS,n,2,286.47,7.56,D,0
32.2128,76.47868,328.06,0.59,0.7,2024-01-14,853,N20,VIIRS,l,2,298.1,4.07,D,0
32.4945,76.40701,316.86,0.55,0.51,2024-01-14,2115,N20,VIIRS,n,2,273.4,3.02,N,0
32.48703,76.41823,327.55,0.55,0.51,2024-01-14,2115,N20,VIIRS,n,2,273.69,5.45,N,0
32.48822,76.41309,313.63,0.55,0.51,2024-01-14,2115,N20,VIIRS,n,2,272.35,3.1,N,0
32.46183,76.44256,321.16,0.55,0.51,2024-01-14,2115,N20,VIIRS,n,2,279.35,4.03,N,0
32.4595,76.43875,314.9,0.55,0.51,2024-01-14,2115,N20,VIIRS,n,2,277.64,3.12,N,0
30.4427,75.73312,327.24,0.53,0.5,2024-01-15,833,N20,VIIRS,n,2,285.62,3.81,D,0
31.74142,76.5975,330.63,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,296.16,3.54,D,0
31.74239,76.59693,329.94,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,295.71,4.1,D,0
32.48103,76.42168,336.09,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,305.09,10.69,D,0
32.48063,76.41648,352.66,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,304.4,17.54,D,0
32.48502,76.40862,346.66,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,300.01,17.86,D,0
32.48922,76.39853,339.09,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,299.88,6.4,D,0
32.2476,76.24384,341.81,0.6,0.53,2024-01-15,834,N20,VIIRS,n,2,291.89,8.06,D,0
32.24511,76.24269,341.55,0.6,0.53,2024-01-15,834,N20,VIIRS,n,2,292.26,8.86,D,0
32.48006,76.42403,335.2,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,305.37,10.8,D,0
32.47958,76.41824,349.01,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,303.99,10.8,D,0
32.48392,76.41052,349.69,0.62,0.54,2024-01-15,834,N20,VIIRS,n,2,301.04,13.25,D,0
32.44566,75.96122,338.4,0.58,0.52,2024-01-15,834,N20,VIIRS,n,2,294.81,6.3,D,0
32.48762,76.4257,295.54,0.47,0.4,2024-01-15,2057,N20,VIIRS,n,2,271.51,0.82,N,0
32.47919,76.43062,308.46,0.47,0.4,2024-01-15,2057,N20,VIIRS,n,2,274.03,1.48,N,0
32.4784,76.41505,332.38,0.47,0.4,2024-01-15,2057,N20,VIIRS,n,2,276.52,4.51,N,0
32.47756,76.41952,304.86,0.47,0.4,2024-01-15,2057,N20,VIIRS,n,2,274.66,2.25,N,0
32.47656,76.42477,301.61,0.47,0.4,2024-01-15,2057,N20,VIIRS,n,2,276.63,2.25,N,0
32.47379,76.41964,332.38,0.47,0.4,2024-01-15,2057,N20,VIIRS,n,2,276.57,2.25,N,0
31.70014,75.67603,330.87,0.46,0.39,2024-01-16,815,N20,VIIRS,n,2,289.33,3.18,D,0
31.78707,75.11298,326.27,0.44,0.38,2024-01-16,815,N20,VIIRS,n,2,288.18,2.08,D,0
32.04292,75.61159,325.69,0.46,0.39,2024-01-16,815,N20,VIIRS,n,2,290.13,2.46,D,0
32.48233,76.60787,335.2,0.52,0.41,2024-01-16,815,N20,VIIRS,n,2,293.1,10.53,D,0
32.48598,76.60625,342.24,0.52,0.41,2024-01-16,815,N20,VIIRS,n,2,298.0,10.53,D,0
32.48607,76.60948,329.54,0.52,0.41,2024-01-16,815,N20,VIIRS,n,2,296.95,25.27,D,0
32.08447,76.8055,297.4,0.38,0.36,2024-01-16,2038,N20,VIIRS,n,2,267.92,0.86,N,0
32.40428,76.4239,315.74,0.39,0.36,2024-01-16,2038,N20,VIIRS,n,2,272.73,2.25,N,0
32.47363,76.41561,295.85,0.39,0.36,2024-01-16,2038,N20,VIIRS,n,2,275.58,0.59,N,0
29.99729,76.52485,341.32,0.38,0.36,2024-01-16,2039,N20,VIIRS,n,2,280.65,5.15,N,0
32.1256,75.62972,326.2,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,292.74,1.14,D,0
32.02917,75.73053,335.23,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,297.14,13.84,D,0
31.99099,75.64165,326.88,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,290.57,4.83,D,0
31.98768,75.64238,329.87,0.39,0.36,2024-01-17,756,N20,VIIRS,n,2,293.9,4.83,D,0
