date,AQI,PM2.5,PM10,NO2,SO2,CO,Ozone,fire_count,total_frp,mean_frp,max_frp,mean_wind_kmh,std_wind_kmh,total_frp_lag1,fire_count_lag1,mean_wind_lag1,fire_count_fw,total_frp_fw,weighted_frp_fw,mean_dist_km,min_dist_km,mean_bearing_deg,mean_wind_dir_deg,mean_wind_dir_cos,mean_wind_dir_sin,weighted_frp_lag1,fire_wind_ang_diff,fire_wind_alignment,fire_wind_alignment01,weighted_frp_aligned
2024-06-10,127,59.48,154.34,40.46,36.31,0.8,99.56,885.0,5165.1,5.836271186440678,44.12,2.486521739130435,1.6126195761038007,3945.8600000000006,733.0,1.59875,885.0,5165.1,16.21091046260915,371.672666648044,164.0684316951876,157.13570327058505,288.2723002507035,0.07402385914381562,-0.2241909871702654,16.986625128097064,131.13659698011844,-0.6578564410843025,0.17107177945784874,2.773229299470405
2024-06-11,290,116.26,488.18,86.85,43.89,1.03,82.55,1091.0,6166.88,5.65250229147571,79.92,2.0004347826086954,1.226219164234183,5165.1,885.0,2.486521739130435,1091.0,6166.880000000001,19.121550024114015,381.57227347866956,182.96328221042472,163.08655717987642,288.2723002507035,0.07402385914381562,-0.2241909871702654,16.21091046260915,125.18574307082707,-0.5762289678711654,0.2118855160644173,4.051579494810969
2024-06-12,207,84.83,242.7,86.53,40.23,1.02,80.15,1413.0,7103.38,5.027162066525124,44.08,2.829166666666667,1.791229639992708,6166.88,1091.0,2.0004347826086954,1413.0,7103.38,31.682506465350613,400.9775897138208,145.0322410159138,162.12033625387085,288.2723002507035,0.07402385914381562,-0.2241909871702654,19.121550024114015,126.15196399683265,-0.5899289155703001,0.20503554221484993,6.4960398918486515
2024-06-13,181,88.39,227.61,78.79,37.29,0.8,74.52,1175.0,7964.44,6.778246808510639,87.78,2.192916666666666,1.1077139764502335,7103.38,1413.0,2.829166666666667,1175.0,7964.4400000000005,24.8008452878705,371.0906530437536,170.8439295991623,166.51892120384673,288.2723002507035,0.07402385914381562,-0.2241909871702654,31.682506465350613,121.75337904685676,-0.5262640726786137,0.23686796366069313,5.874525720401782
2024-06-14,191,119.33,292.07,20.66,34.18,0.67,65.9,943.0,4820.88,5.112279957582184,49.23,2.231363636363636,2.0558633812644853,7964.44,1175.0,2.192916666666666,943.0,4820.88,15.219169524003984,366.89908717854223,281.04409173754766,163.00956287045062,288.2723002507035,0.07402385914381562,-0.2241909871702654,24.8008452878705,125.26273738025287,-0.5773267227240778,0.2113366386379611,3.2163681300643003
2024-06-15,225,75.45,209.51,20.72,34.55,0.71,66.45,1110.0,5194.26,4.6795135135135135,117.94,2.1475,1.2081777274278118,4820.88,943.0,2.231363636363636,1110.0,5194.26,16.495592632626625,371.7868803286848,197.26085806040146,164.31090629873427,288.2723002507035,0.07402385914381562,-0.2241909871702654,15.219169524003984,123.96139395196923,-0.5586341688606593,0.22068291556967035,3.640295476217618
2024-06-16,186,78.72,214.94,20.82,36.78,0.83,64.98,1348.0,8593.33,6.374873887240356,63.72,2.173529411764706,1.060394626875241,5194.26,1110.0,2.1475,1348.0,8593.33,27.114201381235187,364.83762700958107,176.3161899693799,161.26374064383822,288.2723002507035,0.07402385914381562,-0.2241909871702654,16.495592632626625,127.00855960686528,-0.6019343272481334,0.19903283637593328,5.396616406975487
2024-06-17,163,73.52,190.0,20.71,38.74,0.84,62.7,1022.0,6013.99,5.884530332681018,38.3,1.8258823529411763,0.89402921389299,8593.33,1348.0,2.173529411764706,1022.0,6013.99,19.101300915530896,385.55247614809315,180.34980099409174,161.14890488687786,288.2723002507035,0.07402385914381562,-0.2241909871702654,27.114201381235187,127.12339536382564,-0.6035336118075092,0.1982331940962454,3.786511891879226
2024-06-18,201,119.43,341.42,20.47,37.67,0.83,50.85,586.0,3462.4300000000003,5.908583617747441,58.35,1.8685714285714283,1.1618940580783614,6013.99,1022.0,1.8258823529411763,586.0,3462.4300000000003,11.53223059990015,348.1843465452576,272.0440661711577,167.26121843410897,288.2723002507035,0.07402385914381562,-0.2241909871702654,19.101300915530896,121.01108181659453,-0.5152038535917896,0.24239807320410522,2.795390477161219
2024-06-19,353,136.96,376.58,40.48,35.17,0.76,51.81,652.0,6120.7,9.387576687116564,71.49,2.35,2.1170858819563625,3462.4300000000003,586.0,1.8685714285714283,652.0,6120.7,21.092487461821683,340.05374701317373,450.7764964230548,149.7004045020384,288.2723002507035,0.07402385914381562,-0.2241909871702654,11.53223059990015,138.5718957486651,-0.7497865981841991,0.12510670090790044,2.6388115202897655
