date,AQI,frp_total,c_delhi_peak,c_delhi_integrated,wind_speed,month,season,season_bearing,ang_diff_to_target,wind_toward_delhi
2022-08-28,106,2.48,5.049324203646464e-06,2.520009651823992e-05,5.665625,8,JJA,45.0,95.71703801874162,False
2022-08-29,130,120.17999999999998,0.0614754163666086,0.5738442005053621,5.644791666666666,8,JJA,45.0,95.71703801874162,False
2022-08-30,110,18.130000000000003,0.0030744978182902,0.0100945368914406,4.486315789473684,8,JJA,45.0,95.71703801874162,False
2022-08-31,110,0.0,0.0,0.0,,8,JJA,45.0,95.71703801874162,False
2022-09-01,112,2.57,2.3562873463677092e-09,2.6841144194513184e-08,5.175531914893616,9,SON,140.0,0.7170380187416185,True
2022-09-02,104,6.35,9.3695032904982e-06,2.8280694200984024e-05,3.844791666666666,9,SON,140.0,0.7170380187416185,False
2022-09-03,106,6.1,0.0191529218848085,0.271426706417798,3.059375,9,SON,140.0,0.7170380187416185,False
2022-09-04,85,34.93,0.0692378171670804,1.629881816263968,1.7104166666666665,9,SON,140.0,0.7170380187416185,False
2022-09-05,82,0.72,3.775392864444515e-18,1.1338285875603998e-17,1.0202247191011236,9,SON,140.0,0.7170380187416185,False
2022-09-06,73,5.64,5.5187919619722556e-14,1.65903278228151e-13,1.4482758620689655,9,SON,140.0,0.7170380187416185,False
2022-09-07,124,25.08,0.0109987344683599,0.2526555468398851,1.864383561643836,9,SON,140.0,0.7170380187416185,False
2022-09-08,222,4.48,0.0041686519438758,0.0498755163138801,1.0042105263157894,9,SON,140.0,0.7170380187416185,False
2022-09-09,150,15.07,0.0003565927798642,0.0021702396187959,0.771578947368421,9,SON,140.0,0.7170380187416185,False
2022-09-10,96,6.029999999999999,2.3256589998274246e-06,9.40973321333673e-06,0.8270833333333334,9,SON,140.0,0.7170380187416185,False
2022-09-11,72,7.720000000000001,3.348681137974129e-05,0.0001452322511717,1.0076923076923077,9,SON,140.0,0.7170380187416185,False
2022-09-12,76,45.05,9.324939663560266e-05,0.0004905383811322,0.7903225806451613,9,SON,140.0,0.7170380187416185,False
2022-09-13,63,100.25,6.748957078634288e-06,2.6525240176364173e-05,0.7572916666666667,9,SON,140.0,0.7170380187416185,False
2022-09-14,64,0.0,0.0,0.0,,9,SON,140.0,0.7170380187416185,False
2022-09-15,62,43.21,3.5899874290244173e-16,1.0785616068554328e-15,0.9020833333333332,9,SON,140.0,0.7170380187416185,False
2022-09-16,54,3.16,6.490101179550072e-33,1.9470328644817024e-32,0.7572916666666667,9,SON,140.0,0.7170380187416185,False
2022-09-17,54,21.379999999999995,4.912031328600001e-06,1.942002217439287e-05,0.765625,9,SON,140.0,0.7170380187416185,False
2022-09-18,92,134.24,0.0181661185156545,0.0780470418697029,2.3655555555555554,9,SON,140.0,0.7170380187416185,False
2022-09-19,140,73.38000000000001,8.45437005093278e-17,2.5392448593040136e-16,1.049438202247191,9,SON,140.0,0.7170380187416185,False
2022-09-20,131,114.28,3.124159993315445e-15,9.39497258527591e-15,1.0260869565217392,9,SON,140.0,0.7170380187416185,False
