date,avg_aqi,mean_temp,humidity,mean_wind_kmh,std_wind_kmh,fire_count,total_frp
2020-08-07,,,,,,69.0,166.72
2020-08-08,,,,,,58.0,106.11
2020-08-09,,,,,,45.0,108.37
2020-08-10,,,,,,43.0,110.01
2020-08-11,,,,,,27.0,92.99
2020-08-12,,,,,,89.0,334.16
2020-08-13,,,,,,109.0,235.0
2020-08-14,,,,,,10.0,14.83
2020-08-15,,,,,,6.0,20.85
2020-08-16,,,,,,32.0,109.09
2020-08-17,,,,,,17.0,49.18
2020-08-18,,,,,,75.0,192.85
2020-08-19,,,,,,16.0,45.37
2020-08-20,,,,,,12.0,51.519999999999996
2020-08-21,,,,,,40.0,159.7
2020-08-22,,,,,,27.0,101.35
2020-08-23,,,,,,46.0,76.56
2020-08-24,,,,,,43.0,110.83
2020-08-25,,,,,,22.0,97.08
2020-08-26,,,,,,24.0,75.71000000000001
2020-08-27,,,,,,80.0,689.65
2020-08-28,,,,,,148.0,443.33
2020-08-29,,,,,,173.0,417.73
2020-08-30,,,,,,121.0,372.01
2020-08-31,,,,,,59.0,129.64
2020-09-01,,,,,,30.0,85.22
2020-09-02,,,,,,81.0,182.83
2020-09-03,,,,,,300.0,766.29
2020-09-04,,,,,,210.0,602.57
2020-09-05,,,,,,98.0,215.4
2020-09-06,,,,,,139.0,405.21999999999997
2020-09-07,,,,,,64.0,252.26
2020-09-08,,,,,,79.0,263.75
2020-09-09,,,,,,134.0,252.01
2020-09-10,,,,,,66.0,158.92
2020-09-11,,,,,,79.0,172.79
2020-09-12,,,,,,92.0,178.56
2020-09-13,,,,,,92.0,166.91
2020-09-14,,,,,,191.0,359.19
2020-09-15,,,,,,65.0,204.07
2020-09-16,,,,,,78.0,171.47
2020-09-17,,,,,,97.0,289.06
2020-09-18,,,,,,97.0,336.21
2020-09-19,,,,,,208.0,551.76
2020-09-20,,,,,,71.0,297.24
2020-09-21,,,,,,71.0,400.42
2020-09-22,,,,,,102.0,421.42
2020-09-23,,,,,,155.0,662.72
2020-09-24,,,,,,138.0,666.55
2020-09-25,,,,,,168.0,730.89
2020-09-26,,,,,,152.0,651.05
2020-09-27,,,,,,395.0,1291.56
2020-09-28,,,,,,361.0,1093.75
2020-09-29,,,,,,278.0,995.62
2020-09-30,,,,,,161.0,739.22
2020-10-01,,,,,,170.0,797.36
2020-10-02,,,,,,297.0,1550.74
2020-10-03,,,,,,422.0,1803.52
2020-10-04,,,,,,525.0,2001.72
2020-10-05,,,,,,424.0,1572.36
2020-10-06,,,,,,370.0,1562.61
2020-10-07,,,,,,396.0,1702.93
2020-10-08,,,,,,716.0,2761.62
2020-10-09,,,,,,846.0,3143.76
2020-10-10,,,,,,690.0,3234.59
2020-10-11,,,,,,765.0,3377.63
2020-10-12,,,,,,709.0,2877.89
2020-10-13,,,,,,763.0,4621.71
2020-10-14,,,,,,1231.0,5711.37
2020-10-15,,,,,,1382.0,6813.51
2020-10-16,,,,,,965.0,4986.65
2020-10-17,,,,,,1244.0,7342.77
2020-10-18,,,,,,1525.0,9946.57
2020-10-19,,,,,,1628.0,8789.19
2020-10-20,,,,,,1843.0,9108.51
2020-10-21,,,,,,1446.0,8029.6
2020-10-22,,,,,,1509.0,8538.15
2020-10-23,,,,,,1702.0,10891.01
2020-10-24,,,,,,2454.0,15999.51
2020-10-25,,,,,,3428.0,17861.96
2020-10-26,,,,,,2753.0,16965.35
2020-10-27,,,,,,2838.0,17543.15
2020-10-28,,,,,,3566.0,21731.31
2020-10-29,,,,,,3676.0,23211.08
2020-10-30,,,,,,5619.0,36020.01
2020-10-31,,,,,,5094.0,32449.81
2020-11-01,,,,,,3585.0,23785.82
2020-11-02,,,,,,4369.0,29409.08
2020-11-03,,,,,,4692.0,35430.97
2020-11-04,,,,,,6704.0,49561.4
2020-11-05,,,,,,7438.0,47579.05
2020-11-06,,,,,,4875.0,32398.5
2020-11-07,,,,,,6067.0,42224.8
2020-11-08,,,,,,5374.0,37663.19
2020-11-09,,,,,,5020.0,36513.91
2020-11-10,,,,,,6326.0,36768.92
2020-11-11,,,,,,3451.0,19581.54
2020-11-12,,,,,,1742.0,7962.16
2020-11-13,,,,,,2996.0,17087.65
2020-11-14,,,,,,2160.0,11658.09
2020-11-15,,,,,,1887.0,8419.63
2020-11-16,,,,,,1154.0,4015.82
2020-11-17,,,,,,1215.0,4654.2
2020-11-18,,,,,,1373.0,7780.01
2020-11-19,,,,,,1483.0,8417.98
2020-11-20,,,,,,1784.0,9392.93
2020-11-21,,,,,,2236.0,9849.06
2020-11-22,,,,,,1478.0,4972.04
2020-11-23,,,,,,1019.0,3588.7599999999998
2020-11-24,,,,,,745.0,2693.26
2020-11-25,,,,,,687.0,2752.87
2020-11-26,,,,,,441.0,1482.27
2020-11-27,,,,,,656.0,1992.62
2020-11-28,,,,,,1283.0,4722.46
2020-11-29,,,,,,1068.0,3865.65
2020-11-30,,,,,,1073.0,3526.53
2020-12-01,,,,,,1565.0,5515.29
2020-12-02,,,,,,1760.0,6134.64
2020-12-03,,,,,,1402.0,4665.21
2020-12-04,,,,,,1015.0,3576.85
2020-12-05,,,,,,1181.0,4482.2
2020-12-06,,,,,,1596.0,6214.57
2020-12-07,,,,,,1608.0,5709.95
2020-12-08,,,,,,1834.0,6427.35
2020-12-09,,,,,,1135.0,4437.77
2020-12-10,,,,,,1011.0,4223.68
2020-12-11,,,,,,1090.0,4060.94
2020-12-12,,,,,,1006.0,3715.73
2020-12-13,,,,,,1309.0,4246.79
2020-12-14,,,,,,979.0,2900.51
2020-12-15,,,,,,657.0,2204.96
2020-12-16,,,,,,903.0,3409.71
2020-12-17,,,,,,1226.0,3963.72
2020-12-18,,,,,,1662.0,5666.28
2020-12-19,,,,,,2000.0,7542.77
2020-12-20,,,,,,1622.0,7098.63
2020-12-21,,,,,,1463.0,5526.15
2020-12-22,,,,,,1707.0,6545.93
2020-12-23,,,,,,1723.0,6580.29
2020-12-24,,,,,,1659.0,5698.76
2020-12-25,,,,,,1435.0,4789.24
2020-12-26,,,,,,1383.0,5511.97
2020-12-27,,,,,,1530.0,6490.14
2020-12-28,,,,,,1478.0,7150.0199999999995
2020-12-29,,,,,,1403.0,7340.28
2020-12-30,,,,,,1182.0,4032.54
2020-12-31,,,,,,962.0,3251.6
2021-01-01,462.0,,,,,1096.0,3349.84
2021-01-02,482.0,,,,,1076.0,5053.89
2021-01-03,263.0,,,,,1123.0,4273.19
2021-01-04,207.0,,,,,987.0,5535.1
2021-01-05,149.0,,,,,789.0,3566.96
2021-01-06,252.0,,,,,627.0,2838.25
2021-01-07,288.0,,,,,479.0,2339.6
2021-01-08,248.0,,,,,464.0,1784.17
2021-01-09,326.0,,,,,1129.0,4811.05
2021-01-10,284.0,,,,,674.0,1999.33
2021-01-11,281.0,,,,,699.0,2640.86
2021-01-12,329.0,,,,,792.0,2411.86
2021-01-13,378.0,,,,,1097.0,4451.69
2021-01-14,422.0,,,,,1212.0,4251.48
2021-01-15,456.0,,,,,1179.0,4973.77
2021-01-16,388.0,,,,,1089.0,4475.28
2021-01-17,342.0,,,,,1090.0,4207.21
2021-01-18,401.0,,,,,1253.0,5081.8
2021-01-19,400.0,,,,,1067.0,4165.75
2021-01-20,322.0,,,,,1062.0,3766.58
2021-01-21,328.0,,,,,1313.0,6568.62
2021-01-22,412.0,,,,,1080.0,4654.41
2021-01-23,362.0,,,,,1347.0,5215.58
2021-01-24,370.0,,,,,1266.0,4912.19
2021-01-25,345.0,,,,,1173.0,4206.95
2021-01-26,369.0,,,,,1118.0,4456.89
2021-01-27,371.0,,,,,1088.0,4575.84
2021-01-28,373.0,,,,,1399.0,5983.31
2021-01-29,440.0,,,,,1342.0,5951.89
2021-01-30,363.0,,,,,1526.0,8745.460000000001
2021-01-31,368.0,,,,,1545.0,5531.0
