date,AQI,fire_count,frp_sum,frp_max,AQI_7d,fire_7d,wind_mean_kmh,wind_median_kmh,lag_days_est,fire_count_transport_shifted
2022-07-18,140,3,18.83,6.74,96.85714285714286,1.7142857142857142,1.6214285714285714,0.0,3,2
2022-07-19,124,0,0.0,0.0,108.14285714285714,1.5714285714285714,5.309302325581395,0.0,2,3
2022-07-20,86,0,0.0,0.0,105.85714285714286,1.0,3.081052631578947,0.0,3,3
2022-07-21,53,0,0.0,0.0,100.57142857142857,0.8571428571428571,2.6066666666666665,0.0,3,3
2022-07-22,171,1,4.57,4.57,88.57142857142857,0.5714285714285714,2.04,0.0,3,0
2022-07-23,71,0,0.0,0.0,79.42857142857143,0.7142857142857143,2.563157894736842,0.0,3,0
2022-07-24,59,2,1.52,0.83,75.0,0.7142857142857143,2.114736842105263,0.0,3,0
2022-07-25,56,1,1.99,1.99,74.85714285714286,0.8571428571428571,3.783157894736842,0.0,3,1
2022-07-26,60,1,2.31,2.31,57.142857142857146,0.7142857142857143,3.027368421052631,0.0,3,0
2022-07-27,55,0,0.0,0.0,53.714285714285715,0.7142857142857143,2.6210526315789475,0.1,3,2
2022-07-28,52,1,0.56,0.56,52.42857142857143,0.42857142857142855,1.5936842105263158,0.0,3,1
2022-07-29,47,0,0.0,0.0,51.285714285714285,0.2857142857142857,2.502105263157895,0.0,3,1
2022-07-30,47,0,0.0,0.0,73.57142857142857,0.14285714285714285,2.0294736842105263,0.0,3,0
2022-07-31,50,0,0.0,0.0,83.57142857142857,0.14285714285714285,1.374736842105263,0.0,3,1
2022-08-01,48,0,0.0,0.0,90.28571428571429,0.14285714285714285,1.9978260869565216,0.0,3,0
2022-08-02,216,0,0.0,0.0,91.57142857142857,0.14285714285714285,3.1021052631578945,0.0,3,0
2022-08-03,125,0,0.0,0.0,97.42857142857143,0.2857142857142857,2.980232558139535,0.0,3,0
2022-08-04,99,1,3.39,3.39,108.42857142857143,0.2857142857142857,2.6390804597701147,0.0,3,0
2022-08-05,56,0,0.0,0.0,111.28571428571429,0.2857142857142857,0.7905263157894736,0.0,3,0
2022-08-06,88,1,1.63,1.63,96.85714285714286,0.5714285714285714,2.4315789473684206,0.0,3,0
2022-08-07,127,0,0.0,0.0,91.42857142857143,0.7142857142857143,1.2824175824175823,0.0,3,1
2022-08-08,68,0,0.0,0.0,86.14285714285714,0.7142857142857143,0.2578947368421053,0.0,3,0
2022-08-09,115,2,2.08,1.12,85.57142857142857,1.4285714285714286,0.5074074074074074,0.05,3,1
2022-08-10,87,1,6.8,6.8,81.28571428571429,1.2857142857142858,0.15729166666666666,0.0,3,0
2022-08-11,62,1,2.7,2.7,70.71428571428571,1.5714285714285714,0.5208333333333334,0.1,3,0
2022-08-12,52,5,6.66,2.97,67.71428571428571,1.5714285714285714,0.2708333333333333,0.0,3,2
2022-08-13,58,0,0.0,0.0,58.0,1.4285714285714286,0.4666666666666666,0.0,3,1
2022-08-14,53,2,18.88,9.6,52.42857142857143,1.7142857142857142,3.4343749999999997,0.0,3,1
2022-08-15,47,0,0.0,0.0,50.42857142857143,1.7142857142857142,5.723958333333333,0.0,2,0
2022-08-16,47,1,2.16,2.16,51.42857142857143,1.0,5.820833333333333,0.1,2,2
2022-08-17,48,3,5.390000000000001,3.71,53.0,1.2857142857142858,6.255208333333333,1.15,2,0
2022-08-18,48,1,1.04,1.04,58.714285714285715,1.8571428571428572,5.679166666666666,0.0,2,1
2022-08-19,59,0,0.0,0.0,65.28571428571429,2.5714285714285716,5.804166666666666,0.0,2,3
