date,avg_aqi,fire_count,avg_frp,total_frp,avg_distance,avg_wind_speed,max_wind_speed
2024-03-01,360.88235294117646,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-02,360.88235294117646,1.0,0.48,0.48,454.650779085295,0.0,0.0
2024-03-03,360.88235294117646,5.0,6.2059999999999995,31.029999999999998,327.5402072686385,0.0,0.0
2024-03-04,360.88235294117646,3.0,3.4166666666666665,10.25,332.478950147469,0.0,0.0
2024-03-05,360.88235294117646,2.0,2.385,4.77,426.82796516596164,0.0,0.0
2024-03-06,360.88235294117646,17.0,4.771176470588236,81.11,376.311667128359,0.0,0.0
2024-03-07,360.88235294117646,42.0,3.6271428571428572,152.34,367.30973167457887,0.0,0.0
2024-03-08,360.88235294117646,24.0,3.567083333333333,85.61,322.9689857509556,0.0,0.0
2024-03-09,360.88235294117646,20.0,2.9015,58.03,356.4510480930283,0.0,0.0
2024-03-10,360.88235294117646,4.0,2.26,9.04,362.26195516520943,0.0,0.0
2024-03-11,360.88235294117646,13.0,4.02,52.26,317.39658620265953,0.0,0.0
2024-03-12,360.88235294117646,22.0,5.364545454545454,118.02,366.39159339143555,0.0,0.0
2024-03-13,360.88235294117646,2.0,2.2800000000000002,4.5600000000000005,359.3791363665507,0.0,0.0
2024-03-14,360.88235294117646,20.0,3.5130000000000003,70.26,347.5204081168752,0.0,0.0
2024-03-15,360.88235294117646,31.0,3.826451612903226,118.62,382.28731969233644,1.7899999999999998,3.77
2024-03-16,360.88235294117646,19.0,4.2642105263157895,81.02,366.13842460987354,1.7933333333333332,3.84
2024-03-17,360.88235294117646,5.0,2.286,11.43,289.45550964117876,1.7125000000000001,3.86
2024-03-18,360.88235294117646,16.0,7.7475,123.96,309.64438489807605,1.925,4.42
2024-03-19,360.88235294117646,19.0,5.765263157894736,109.53999999999999,380.03724021269994,2.22375,4.76
2024-03-20,360.88235294117646,16.0,3.691875,59.07,330.7242512811389,1.6652173913043478,3.68
2024-03-21,360.88235294117646,15.0,4.0986666666666665,61.48,328.2646852874292,1.5591666666666668,3.09
2024-03-22,360.88235294117646,17.0,6.885294117647058,117.05,290.81876125906535,1.6333333333333335,3.16
2024-03-23,360.88235294117646,6.0,4.613333333333333,27.68,238.79902737038614,1.8656521739130434,3.66
2024-03-24,360.88235294117646,9.0,2.592222222222222,23.33,381.632364239182,1.4529166666666666,4.95
2024-03-25,360.88235294117646,14.0,2.1471428571428572,30.060000000000002,379.75935599771157,1.6683333333333332,3.07
2024-03-26,360.88235294117646,0.0,0.0,0.0,0.0,1.87375,5.07
2024-03-27,360.88235294117646,0.0,0.0,0.0,0.0,1.5714285714285714,2.94
2024-03-28,360.88235294117646,3.0,4.066666666666667,12.200000000000001,299.5903540055095,0.0,0.0
2024-03-29,360.88235294117646,4.0,6.5,26.0,218.17710851679624,0.0,0.0
2024-03-30,360.88235294117646,11.0,8.123636363636363,89.36,317.1474139197495,0.0,0.0
2024-03-31,360.88235294117646,7.0,4.948571428571428,34.64,393.3121516769714,0.0,0.0
2024-04-01,360.88235294117646,3.0,1.5366666666666664,4.609999999999999,334.30604611022574,0.0,0.0
2024-04-02,360.88235294117646,16.0,4.37125,69.94,364.42063521826793,1.49,2.65
2024-04-03,360.88235294117646,12.0,6.94,83.28,393.1361899879241,1.8963636363636363,3.7
2024-04-04,360.88235294117646,19.0,4.00578947368421,76.11,372.3818852693289,2.455416666666667,5.56
2024-04-05,360.88235294117646,19.0,4.163684210526315,79.11,346.635333785925,1.7391666666666667,4.94
2024-04-06,360.88235294117646,15.0,5.538666666666667,83.08,239.1949907277193,1.9166666666666667,4.97
2024-04-07,360.88235294117646,14.0,3.6635714285714287,51.29,304.96846316853834,1.8278260869565217,4.23
2024-04-08,360.88235294117646,11.0,3.3618181818181823,36.980000000000004,310.21242482246987,2.3066666666666666,6.15
2024-04-09,360.88235294117646,9.0,2.84,25.56,346.24081514332363,1.7229166666666667,4.02
2024-04-10,360.88235294117646,11.0,3.3027272727272727,36.33,323.2267343135981,2.5,3.29
2024-04-11,360.88235294117646,3.0,2.1133333333333333,6.34,330.43927509120454,0.0,0.0
2024-04-12,360.88235294117646,5.0,1.782,8.91,358.69204233484686,0.0,0.0
2024-04-13,360.88235294117646,0.0,0.0,0.0,0.0,2.375384615384615,3.91
2024-04-14,360.88235294117646,0.0,0.0,0.0,0.0,2.2221739130434783,5.1
2024-04-15,360.88235294117646,4.0,1.69,6.76,290.08229833326595,1.627727272727273,3.54
2024-04-16,360.88235294117646,6.0,4.955,29.73,277.86428936329133,2.3108695652173914,5.14
2024-04-17,360.88235294117646,4.0,5.27,21.08,327.2899387604969,1.4582608695652173,3.13
2024-04-18,360.88235294117646,8.0,10.35625,82.85,210.68709808593326,2.0729166666666665,5.28
2024-04-19,360.88235294117646,2.0,2.59,5.18,418.95711942132897,2.5079166666666666,6.46
2024-04-20,360.88235294117646,22.0,3.6604545454545456,80.53,344.7904912609787,2.2517391304347827,5.79
2024-04-21,360.88235294117646,10.0,3.732,37.32,356.30574557947847,2.294782608695652,5.25
2024-04-22,360.88235294117646,12.0,2.669166666666667,32.03,318.29591185669557,2.315,5.46
2024-04-23,360.88235294117646,17.0,3.0888235294117647,52.51,327.71796059700836,2.1644444444444444,4.71
2024-04-24,360.88235294117646,48.0,4.046666666666667,194.24,351.9147615219926,1.8977777777777776,3.32
2024-04-25,360.88235294117646,50.0,5.523,276.15,326.97552563741823,1.52375,4.94
2024-04-26,360.88235294117646,14.0,2.8857142857142857,40.4,320.6292739230239,1.9156521739130437,6.9
2024-04-27,360.88235294117646,65.0,4.008,260.52,314.46988755173754,2.464166666666667,4.73
2024-04-28,360.88235294117646,29.0,4.66448275862069,135.27,340.2158474380933,2.303478260869565,4.5
2024-04-29,360.88235294117646,27.0,5.333703703703703,144.01,291.83526817349906,2.0195833333333333,4.86
2024-04-30,360.88235294117646,165.0,5.945757575757575,981.05,332.3536579308871,1.9483333333333333,4.09
2024-05-01,360.88235294117646,114.0,9.789912280701754,1116.05,248.3866351878309,1.366086956521739,2.57
2024-05-02,360.88235294117646,132.0,7.449848484848485,983.38,323.2934711572179,1.5191304347826087,5.29
2024-05-03,360.88235294117646,46.0,6.711086956521739,308.71,259.2405948955376,1.1283333333333334,2.98
2024-05-04,360.88235294117646,1037.0,7.391764705882353,7665.26,281.84345861812807,2.2220833333333334,6.05
2024-05-05,360.88235294117646,809.0,6.666402966625464,5393.12,289.04532097764655,2.164090909090909,4.08
2024-05-06,360.88235294117646,589.0,9.747283531409167,5741.15,276.81058005104956,1.6808333333333332,3.0
2024-05-07,360.88235294117646,385.0,12.23974025974026,4712.3,343.7199492549643,1.672608695652174,4.76
2024-05-08,360.88235294117646,1017.0,7.431543756145526,7557.88,324.14326265997084,1.50125,5.65
2024-05-09,360.88235294117646,1426.0,5.408169705469846,7712.05,330.2181174985057,1.2825,2.71
2024-05-10,360.88235294117646,689.0,6.464600870827286,4454.11,325.2745319685679,1.8408333333333333,3.44
2024-05-11,360.88235294117646,715.0,7.619748251748252,5448.12,311.5697471195111,1.677391304347826,3.64
2024-05-12,360.88235294117646,203.0,5.99679802955665,1217.35,286.0899841612376,2.165833333333333,4.36
2024-05-13,360.88235294117646,1933.0,8.587677185721676,16599.98,368.9573365813049,2.0620833333333333,4.18
2024-05-14,360.88235294117646,4139.0,7.136102923411452,29536.33,352.11953945414626,1.8004166666666668,3.09
2024-05-15,360.88235294117646,3364.0,7.008061831153388,23575.12,352.6681734409617,1.5420833333333333,3.87
2024-05-16,360.88235294117646,2002.0,8.862647352647352,17743.02,358.7239945129279,1.9520833333333334,4.4
2024-05-17,360.88235294117646,1274.0,8.729379905808477,11121.23,362.6813112031459,1.8378260869565215,3.17
2024-05-18,360.88235294117646,1236.0,10.044271844660194,12414.72,365.8613042541529,2.859583333333333,6.73
2024-05-19,360.88235294117646,306.0,7.622222222222223,2332.4,405.0226662058236,1.5770833333333334,2.88
2024-05-20,360.88235294117646,1152.0,6.631970486111111,7640.03,365.54755426913346,2.77875,6.51
2024-05-21,360.88235294117646,583.0,7.439725557461406,4337.36,359.4731481040738,1.8530434782608693,4.43
2024-05-22,360.88235294117646,467.0,6.856573875802998,3202.02,342.269692358917,1.4124999999999999,2.54
2024-05-23,360.88235294117646,223.0,5.905067264573991,1316.83,354.7253678879745,1.2562499999999999,3.81
2024-05-24,360.88235294117646,310.0,5.052838709677419,1566.38,331.28355137059754,1.6216666666666668,2.47
2024-05-25,360.88235294117646,540.0,5.766148148148147,3113.72,314.89459975328384,2.111111111111111,5.37
2024-05-26,360.88235294117646,233.0,8.778669527896996,2045.43,340.69525451534906,1.563529411764706,3.33
2024-05-27,360.88235294117646,189.0,5.794179894179893,1095.1,362.79050002430665,1.8941176470588237,3.61
2024-05-28,360.88235294117646,275.0,7.365563636363636,2025.53,354.58299339409524,2.1708695652173913,3.87
2024-05-29,360.88235294117646,287.0,11.057108013937281,3173.39,362.96304627783974,1.7874999999999999,4.31
2024-05-30,360.88235294117646,581.0,7.563321858864027,4394.29,358.2178720312447,2.4791304347826086,8.56
2024-05-31,360.88235294117646,437.0,5.349038901601831,2337.53,353.37586944373567,2.0508333333333333,5.05
2024-06-01,360.88235294117646,327.0,6.005535168195719,1963.81,365.31609546756937,1.9937500000000001,4.88
2024-06-02,360.88235294117646,193.0,4.869533678756477,939.82,359.4098226953611,1.4854166666666666,4.07
2024-06-03,360.88235294117646,83.0,7.438072289156627,617.36,360.22198751271713,1.9654166666666668,3.58
2024-06-04,360.88235294117646,70.0,4.614714285714285,323.03,358.66701039184164,1.8030434782608695,4.76
2024-06-05,360.88235294117646,33.0,5.880606060606061,194.06,310.89115863369716,2.0075,5.24
2024-06-06,360.88235294117646,59.0,5.293050847457628,312.29,319.6948328010084,2.022727272727273,5.25
2024-06-07,360.88235294117646,67.0,4.407611940298508,295.31,373.4902415255349,2.2604347826086957,6.17
2024-06-08,360.88235294117646,16.0,2.24125,35.86,375.0722213830916,1.4441666666666666,3.81
2024-06-09,360.88235294117646,121.0,5.730991735537191,693.45,355.91301639142387,1.59875,3.83
2024-06-10,360.88235294117646,143.0,8.508671328671328,1216.74,377.922009902512,2.486521739130435,6.64
2024-06-11,360.88235294117646,182.0,6.905494505494505,1256.8,374.5490480036382,2.0004347826086954,4.39
2024-06-12,360.88235294117646,197.0,6.845685279187816,1348.6,366.3288774146458,2.829166666666667,7.65
2024-06-13,360.88235294117646,185.0,7.3402702702702705,1357.95,363.7721395227482,2.1929166666666666,5.34
2024-06-14,360.88235294117646,200.0,5.8683000000000005,1173.66,384.4437316919542,2.231363636363636,7.79
2024-06-15,360.88235294117646,223.0,4.240493273542601,945.63,368.1245441911378,2.1475,4.13
2024-06-16,360.88235294117646,269.0,6.659888475836431,1791.51,365.80428065723305,2.173529411764706,3.9
2024-06-17,360.88235294117646,179.0,6.617653631284916,1184.56,354.4424895507598,1.8258823529411765,3.23
2024-06-18,360.88235294117646,98.0,7.63,747.74,353.27203765565235,1.8685714285714285,4.15
2024-06-19,360.88235294117646,168.0,9.238630952380952,1552.09,332.0118600599787,2.35,9.08
2024-06-20,360.88235294117646,40.0,6.713500000000001,268.54,361.36734062722417,1.626521739130435,4.33
2024-06-21,360.88235294117646,14.0,7.494285714285715,104.92,280.4654950424462,1.08125,2.58
2024-06-22,360.88235294117646,47.0,5.050212765957447,237.36,333.4524098952808,1.312,2.46
2024-06-23,360.88235294117646,186.0,5.859516129032259,1089.8700000000001,332.5023721037061,1.9878260869565216,3.94
2024-06-24,360.88235294117646,50.0,5.7658000000000005,288.29,383.1416437214018,1.57,4.86
2024-06-25,360.88235294117646,115.0,5.989652173913043,688.81,363.1377788526992,1.1604347826086958,2.5
2024-06-26,360.88235294117646,42.0,5.925,248.85,324.5944548570273,1.803478260869565,6.53
2024-06-27,360.88235294117646,7.0,7.744285714285715,54.21,369.69862641575406,1.695,3.56
2024-06-28,360.88235294117646,108.0,4.574537037037037,494.05,370.7153862761206,1.7308333333333332,3.54
2024-06-29,360.88235294117646,0.0,0.0,0.0,0.0,1.2269230769230768,2.71
2024-06-30,360.88235294117646,1.0,4.8,4.8,423.3662591642451,1.8099999999999998,3.13
2024-07-01,360.88235294117646,3.0,2.936666666666667,8.81,391.72104879428053,1.3966666666666665,2.83
2024-07-02,360.88235294117646,15.0,4.322666666666667,64.84,418.9887969257119,1.4333333333333333,2.76
2024-07-03,360.88235294117646,30.0,4.91,147.3,381.55706834681547,1.32875,3.0
2024-07-04,360.88235294117646,3.0,3.1366666666666667,9.41,362.2698967337487,0.9979166666666667,1.98
